amenity	cuisine	takeaway	name
fast_food	burger;kebab		Sun  7
fast_food	burger;kebab;tacos		Club Chiken
fast_food	burger;kebab;tacos;grill		SO' DÉLICES
fast_food	burger;kebab;tacos;grill	yes	Sofra Grill
fast_food	burger;kebab;tacos;naan		HFC
fast_food	burger;kebab;tacos;panini;hallal;halal	yes	Burger Time
fast_food	burger;kebab;tacos;salad	yes	Buns Avenue
fast_food	burger;kebab		T-Chips
fast_food	burger;kebab	yes	Burger Kebab
fast_food	burger;kebab	yes	Le 23
fast_food	burger;kebab	yes	Le Castellas
fast_food	burger;kebab	yes	Onur Kebab
fast_food	burger;kebab	yes	Royal Pizza Burger
fast_food	burger;kebab	yes	SlimGourmand
fast_food	burger;kebab	yes	Spread
fast_food	burger;kebab	yes	Super Vegan
